,price,powerStatusD,furnishedD,bathD,transactionTypeD,propTypeD,bedroomD,waterStatus,isPrimeLocProp,floorNo,floors,amenitiesCount,floorRatio
1011,12000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,8.0,0.49096401229102654
1012,9900000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,Y,6.0,17.0,7.0,0.35294117647058826
1013,11300000,No/Rare Powercut,Unfurnished,1,Resale,Residential House,1,Water Availability 24 Hours Available,N,0.0,4.0,5.0,0.0
1014,31000000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,Y,11.0,18.0,9.0,0.6111111111111112
1015,19100000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,23.0,45.0,17.0,0.5111111111111111
1016,7000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,3,Water Availability 24 Hours Available,Y,43.0,43.0,20.0,1.0
1017,26500000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,7.0,21.0,19.0,0.3333333333333333
1018,62500000,No/Rare Powercut,Furnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,Y,4.0,7.0,7.0,0.5714285714285714
1019,11600000,No/Rare Powercut,Furnished,4,Resale,Apartment,4,Water Availability 24 Hours Available,Y,4.0,6.0,12.0,0.6666666666666666
1020,17490000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,14.444773175542407,0.49096401229102654
1021,23400000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,10.0,22.0,21.0,0.45454545454545453
1022,15900000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,15.0,15.0,5.0,1.0
1023,17000000,No/Rare Powercut,Unfurnished,5,New Property,Apartment,5,Water Availability 24 Hours Available,Y,41.0,47.0,18.0,0.8723404255319149
1024,15900000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,18.0,21.0,52.0,0.8571428571428571
1025,16400088,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,8.0,20.0,21.0,0.4
1026,22000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,8.0,0.49096401229102654
1027,8600000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,7.0,21.0,20.0,0.3333333333333333
1028,16000000,Less Than 2 Hour Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,-2.0,50.0,17.0,-0.04
1029,35000000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,12.0,15.0,14.0,0.8
1030,20000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,11.0,20.0,7.0,0.55
1031,45000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,8.0,8.0,14.0,1.0
1032,35000000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,7.0,22.0,5.0,0.3181818181818182
1033,61218107,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,7.0,9.0,14.0,0.7777777777777778
1034,48000000,No/Rare Powercut,Unfurnished,5,New Property,Apartment,4,Water Availability 24 Hours Available,Y,56.0,90.0,21.0,0.6222222222222222
1035,7500000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,19.0,48.0,20.0,0.3958333333333333
1036,27700000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,-2.0,23.0,22.0,-0.08695652173913043
1037,58000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,19.0,0.49096401229102654
1038,42500000,No/Rare Powercut,Semi-Furnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,N,2.0,7.0,9.0,0.2857142857142857
1039,42100000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,2,Water Availability 24 Hours Available,N,6.0,9.0,4.0,0.6666666666666666
1040,30000000,No/Rare Powercut,Semi-Furnished,3,New Property,Apartment,2,Water Availability 24 Hours Available,Y,8.0,22.0,4.0,0.36363636363636365
1041,23500000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,24.0,29.0,31.0,0.8275862068965517
1042,48500000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,12.0,28.0,25.0,0.42857142857142855
1043,17500000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,12.0,20.0,18.0,0.6
1044,11500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,8.0,15.0,19.0,0.5333333333333333
1045,8900000,No/Rare Powercut,Unfurnished,4,Resale,Apartment,4,Water Availability 24 Hours Available,Y,4.0,6.0,9.0,0.6666666666666666
1046,2400000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,1.0,22.0,11.0,0.045454545454545456
1047,7400000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,30.0,34.0,3.0,0.8823529411764706
1048,9000000,No/Rare Powercut,Unfurnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,Y,0.0,4.0,2.0,0.0
1049,11000000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,9.0,10.0,2.0,0.9
1050,9900000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,8.0,13.0,9.0,0.6153846153846154
1051,1400000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,21.0,22.0,12.0,0.9545454545454546
1052,5960000,No/Rare Powercut,Unfurnished,1,New Property,Apartment,1,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,14.444773175542407,0.49096401229102654
1053,20500000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,30.0,35.0,29.0,0.8571428571428571
1054,14900000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,10.0,20.0,7.0,0.5
1055,6956000,No/Rare Powercut,Unfurnished,4,New Property,Apartment,4,Water Availability 24 Hours Available,Y,30.0,48.0,33.0,0.625
1056,11300000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,5.0,8.0,18.0,0.625
1057,16000000,No/Rare Powercut,Unfurnished,4,Resale,Villa,4,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,6.0,0.49096401229102654
1058,18500000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,5.0,15.0,18.0,0.3333333333333333
1059,36000000,No/Rare Powercut,Unfurnished,2,Resale,Builder Floor Apartment,1,Water Availability 24 Hours Available,N,1.0,6.0,5.0,0.16666666666666666
1060,14000000,No/Rare Powercut,Unfurnished,1,Resale,Residential House,1,Water Availability 24 Hours Available,Y,0.0,1.0,4.0,0.0
1061,8600000,No/Rare Powercut,Furnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,N,13.0,13.0,15.0,1.0
1062,13000000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,28.0,0.49096401229102654
1063,81100000,No/Rare Powercut,Furnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,5.0,14.0,8.0,0.35714285714285715
1064,17000000,No/Rare Powercut,Semi-Furnished,2,Resale,Builder Floor Apartment,2,Water Availability 24 Hours Available,Y,2.0,3.0,9.0,0.6666666666666666
1065,12100000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,14.0,14.0,25.0,1.0
1066,15000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,7.0,19.0,16.0,0.3684210526315789
1067,15000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,15.0,40.0,19.0,0.375
