,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
693,55000000,2,2,sqft,6.0,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,18.0,0.75
694,34000000,2,2,sqft,16.0,17.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5.0,0.9411764705882353
695,26500000,2,2,sqft,9.0,10.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.0,0.9
696,10800000,2,3,sqft,17.0,22.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,21.0,0.7727272727272727
697,8700000,2,1,sqft,2.0,15.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.0,0.13333333333333333
698,6500000,2,1,sqft,1.0,4.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.0,0.25
699,17500000,2,2,sqft,5.0,9.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.0,0.5555555555555556
700,32500000,2,2,sqft,13.0,22.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4.0,0.5909090909090909
701,18500000,2,2,sqft,3.0,14.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.0,0.21428571428571427
702,13000000,3,3,sqft,5.0,5.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,13.0,1.0
703,27000000,3,3,sqft,9.0,11.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.8181818181818182
704,27500000,2,1,sqft,2.0,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.444773175542407,0.5
705,7500000,2,2,sqft,3.0,14.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.0,0.21428571428571427
706,24514940,2,2,sqft,11.0,36.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,31.0,0.3055555555555556
707,56000000,2,1,sqft,10.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11.0,0.45454545454545453
708,26500000,2,3,sqft,2.0,23.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8.0,0.08695652173913043
709,65000000,3,3,sqft,11.0,11.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23.0,1.0
710,240000000,5,4,sqft,18.0,64.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,12.0,0.28125
711,9300000,2,1,sqft,1.0,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.125
712,9000000,2,1,sqft,0.0,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.0,0.0
713,70000000,2,3,sqft,18.0,18.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,12.0,1.0
714,85000000,5,4,sqft,21.0,28.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,19.0,0.75
715,31000000,2,2,sqft,10.0,20.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.0,0.5
716,30000000,2,2,sqft,5.0,10.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,17.0,0.5
717,112000000,2,2,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.0,0.4912764960158325
718,15500000,2,2,sqft,45.0,78.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,24.0,0.5769230769230769
719,132000000,2,2,sqft,10.0,16.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.0,0.625
720,32500000,3,3,sqft,3.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.444773175542407,0.42857142857142855
721,80000000,2,2,sqft,1.0,11.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,21.0,0.09090909090909091
722,13000000,2,2,sqft,2.0,8.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,13.0,0.25
